t alpha X N balance
2.0020 0.0000 1.0000 1.0000 0.1096
4.0020 0.0000 1.0000 1.0000 0.1096
6.0000 0.0000 1.0000 1.0000 0.1096
8.0000 0.0000 1.0000 1.0000 0.1096
10.0000 0.0000 1.0000 2.0000 0.2193
12.0020 0.0000 1.0000 4.0000 0.4386
14.0020 0.0000 1.0000 4.0000 0.4386
16.0020 0.0000 1.0000 5.0000 0.5482
18.0000 0.0000 1.0000 5.0000 0.5482
20.0000 0.0000 1.0000 6.0000 0.6579
22.0000 0.0000 1.0000 9.0000 0.9868
24.0020 0.0415 1.0000 11.0000 1.2061
26.0020 0.2169 1.0000 12.0000 1.3158
28.0000 0.5205 1.0000 16.0000 1.7544
30.0000 1.0795 1.0000 19.0000 2.0833
32.0000 1.8813 1.0000 23.0000 2.5219
34.0020 2.8883 1.0000 27.0000 2.9605
36.0020 4.0744 1.0000 31.0000 3.3991
38.0020 5.6003 1.0000 36.0000 3.9473
40.0000 7.6082 1.0000 45.0000 4.9342
42.0000 10.1684 1.0000 52.0000 5.7017
44.0000 13.2447 1.0000 67.0000 7.3464
46.0020 17.3108 1.0000 78.0000 8.5525
48.0020 21.4353 1.0000 86.0000 9.4297
50.0000 26.4402 1.0000 92.0000 10.0876
52.0000 31.8149 1.0000 96.0000 10.5262
54.0000 37.6421 1.0000 108.0000 11.8420
56.0020 43.7988 2.0000 114.0000 12.4999
58.0020 49.5592 3.0000 123.0000 13.4867
60.0020 56.1565 2.0000 133.0000 14.5832
62.0000 63.7348 2.0000 144.0000 15.7893
64.0000 71.8979 2.0000 155.0000 16.9954
66.0000 80.3763 3.0000 165.0000 18.0919
68.0020 89.4397 2.0000 182.0000 19.9559
70.0020 99.8971 4.0000 202.0000 22.1489
72.0000 111.7106 2.0000 227.0000 24.8901
74.0000 125.0449 3.0000 247.0000 27.0830
76.0000 139.7629 3.0000 270.0000 29.6049
78.0020 155.1004 5.0000 294.0000 32.2365
80.0020 170.8539 7.0000 310.0000 33.9908
82.0020 186.4855 12.0000 332.0000 36.4031
84.0000 199.4491 19.0000 347.0000 38.0478
86.0000 212.2588 20.0000 370.0000 40.5697
88.0000 225.1038 20.0000 387.0000 42.4337
90.0020 240.7204 14.0000 406.0000 44.5170
92.0020 257.6047 20.0000 433.0000 47.4775
94.0020 272.6956 25.0000 451.0000 49.4512
96.0000 288.4680 24.0000 478.0000 52.4117
98.0000 305.5453 23.0000 498.0000 54.6046
100.0020 323.5599 26.0000 520.0000 57.0169
102.0020 340.9628 30.0000 541.0000 59.3195
104.0020 355.4833 38.0000 558.0000 61.1835
106.0000 370.3126 42.0000 592.0000 64.9115
108.0000 382.4066 44.0000 619.0000 67.8720
110.0000 394.7184 46.0000 647.0000 70.9421
112.0020 408.6350 42.0000 684.0000 74.9991
114.0020 423.0453 58.0000 715.0000 78.3982
116.0020 438.7809 54.0000 754.0000 82.6745
118.0000 455.8798 58.0000 784.0000 85.9639
120.0000 472.8536 61.0000 814.0000 89.2533
122.0020 489.2723 62.0000 842.0000 92.3235
124.0020 505.0958 71.0000 872.0000 95.6129
126.0020 519.8724 81.0000 914.0000 100.2181
128.0000 535.2781 71.0000 944.0000 103.5075
130.0000 547.4344 95.0000 977.0000 107.1259
132.0000 557.0035 93.0000 1010.0000 110.7443
134.0020 566.6131 94.0000 1044.0000 114.4723
136.0020 578.2568 94.0000 1071.0000 117.4328
138.0020 589.9181 108.0000 1099.0000 120.5030
140.0000 601.1421 102.0000 1140.0000 124.9985
142.0000 610.7439 111.0000 1177.0000 129.0555
144.0020 623.4892 107.0000 1214.0000 133.1125
146.0020 633.0997 121.0000 1259.0000 138.0466
148.0020 643.3495 134.0000 1311.0000 143.7483
150.0000 653.2725 141.0000 1350.0000 148.0246
152.0000 660.3665 143.0000 1392.0000 152.6298
154.0000 664.6074 148.0000 1434.0000 157.2350
156.0020 669.1819 152.0000 1481.0000 162.3884
158.0020 677.3280 147.0000 1521.0000 166.7743
160.0020 682.1713 174.0000 1580.0000 173.2436
162.0000 686.9549 162.0000 1628.0000 178.5067
164.0000 692.4777 165.0000 1679.0000 184.0987
166.0020 698.9146 169.0000 1723.0000 188.9232
168.0020 703.9655 187.0000 1761.0000 193.0898
170.0020 711.3261 183.0000 1806.0000 198.0240
172.0000 717.3435 185.0000 1855.0000 203.3967
174.0000 725.3752 187.0000 1908.0000 209.2080
176.0000 728.6368 215.0000 1953.0000 214.1422
178.0020 726.6940 228.0000 1988.0000 217.9799
180.0020 723.0906 219.0000 2035.0000 223.1333
182.0020 717.5291 245.0000 2086.0000 228.7254
184.0000 704.7217 248.0000 2124.0000 232.8920
186.0000 697.0443 251.0000 2167.0000 237.6068
188.0000 686.7199 264.0000 2212.0000 242.5410
190.0020 682.1243 247.0000 2278.0000 249.7777
192.0020 683.7011 234.0000 2321.0000 254.4926
194.0000 691.4845 243.0000 2389.0000 261.9486
196.0000 700.5345 264.0000 2450.0000 268.6372
198.0000 708.2948 262.0000 2519.0000 276.2029
200.0020 705.5302 289.0000 2585.0000 283.4396
202.0020 703.0410 278.0000 2649.0000 290.4571
204.0020 711.7239 281.0000 2718.0000 298.0228
206.0000 719.9492 300.0000 2767.0000 303.3955
208.0000 721.2908 312.0000 2830.0000 310.3033
210.0000 720.3242 321.0000 2887.0000 316.5533
212.0020 712.5914 329.0000 2957.0000 324.2286
214.0020 707.8182 325.0000 3013.0000 330.3689
216.0000 707.3096 347.0000 3062.0000 335.7416
218.0000 709.0027 321.0000 3116.0000 341.6626
220.0000 706.4992 361.0000 3164.0000 346.9257
222.0020 702.2568 363.0000 3214.0000 352.4081
224.0020 690.1584 390.0000 3272.0000 358.7677
226.0020 685.9996 370.0000 3345.0000 366.7720
228.0000 682.8387 379.0000 3407.0000 373.5701
230.0000 687.5054 352.0000 3465.0000 379.9297
232.0000 693.4857 374.0000 3545.0000 388.7015
234.0020 697.7910 394.0000 3622.0000 397.1444
236.0020 696.6541 398.0000 3704.0000 406.1355
238.0000 704.7663 387.0000 3770.0000 413.3723
240.0000 719.7545 394.0000 3848.0000 421.9248
242.0000 729.6384 397.0000 3917.0000 429.4905
244.0020 736.7272 431.0000 3976.0000 435.9597
246.0020 733.2545 445.0000 4061.0000 445.2798
248.0020 730.3353 457.0000 4123.0000 452.0780
250.0000 733.2839 447.0000 4198.0000 460.3015
252.0000 737.1993 465.0000 4287.0000 470.0602
254.0000 733.2512 479.0000 4359.0000 477.9548
256.0020 738.8875 488.0000 4435.0000 486.2881
258.0020 732.2057 510.0000 4522.0000 495.8274
260.0000 731.6417 491.0000 4600.0000 504.3800
262.0000 728.9357 530.0000 4675.0000 512.6036
264.0000 723.5854 506.0000 4756.0000 521.4850
266.0020 718.8496 529.0000 4829.0000 529.4893
268.0020 714.2087 559.0000 4920.0000 539.4673
270.0020 705.9315 558.0000 4988.0000 546.9233
272.0000 701.3417 567.0000 5062.0000 555.0373
274.0000 701.4935 553.0000 5144.0000 564.0284
276.0000 711.4041 564.0000 5208.0000 571.0458
278.0020 709.7828 583.0000 5279.0000 578.8308
280.0020 720.1476 557.0000 5350.0000 586.6158
282.0020 733.2453 575.0000 5437.0000 596.1552
284.0000 737.5231 605.0000 5499.0000 602.9534
286.0000 741.5280 605.0000 5590.0000 612.9313
288.0020 746.8409 626.0000 5649.0000 619.4005
290.0020 752.8779 616.0000 5735.0000 628.8302
292.0020 751.2849 656.0000 5808.0000 636.8345
294.0000 745.6013 660.0000 5895.0000 646.3739
296.0000 747.5705 653.0000 5983.0000 656.0229
298.0000 747.9724 682.0000 6065.0000 665.0140
300.0020 742.9898 687.0000 6154.0000 674.7727
302.0020 732.9818 698.0000 6234.0000 683.5445
304.0020 732.0566 689.0000 6327.0000 693.7418
306.0000 725.9910 707.0000 6406.0000 702.4039
308.0000 723.1987 701.0000 6486.0000 711.1758
310.0020 729.2231 685.0000 6582.0000 721.7019
312.0020 740.4169 717.0000 6672.0000 731.5703
314.0020 739.4870 769.0000 6768.0000 742.0964
316.0000 730.2025 785.0000 6862.0000 752.4033
318.0000 724.7594 764.0000 6960.0000 763.1488
320.0000 727.1459 780.0000 7055.0000 773.5654
322.0020 721.4825 793.0000 7139.0000 782.7758
324.0020 710.6246 836.0000 7228.0000 792.5344
326.0020 714.5141 793.0000 7328.0000 803.4992
328.0000 715.8809 783.0000 7438.0000 815.5605
330.0000 727.6853 825.0000 7523.0000 824.8805
332.0020 720.9608 856.0000 7621.0000 835.6260
334.0020 716.5646 871.0000 7714.0000 845.8233
336.0020 709.9692 855.0000 7811.0000 856.4591
338.0000 712.3187 850.0000 7906.0000 866.8757
340.0000 720.2938 891.0000 8008.0000 878.0597
342.0000 712.8583 890.0000 8100.0000 888.1473
344.0020 707.8289 882.0000 8191.0000 898.1253
346.0020 703.4904 923.0000 8284.0000 908.3225
348.0020 713.1174 884.0000 8392.0000 920.1645
350.0000 714.0665 925.0000 8501.0000 932.1161
352.0000 727.1920 907.0000 8593.0000 942.2037
354.0020 731.2914 964.0000 8689.0000 952.7299
