n,p030,p040,p045,p048,p049
0,1.0,1.0,1.0,1.0,1.0
1,2.0,2.0,2.0,2.0,2.0
2,2.3529411764705883,2.5,2.5806451612903225,2.631578947368421,2.6490066225165565
3,2.5478518424153638,2.8669724770642198,3.061036591344441,3.190194821369507,3.2355287065631435
4,2.6606324605648877,3.1480727033499027,3.474807293038779,3.703778898708205,3.7862209037292867
5,2.7270500688134134,3.367123180362197,3.8370565631058007,4.183451137484351,4.31137141986845
6,2.7664924046631936,3.5393431905231982,4.156913151969823,4.635157219583413,4.816259117430321
7,2.790018787079893,3.675455830843068,4.440779087170649,5.062630704584634,5.304038305165161
8,2.8040861594352826,3.783392779335089,4.693539390776115,5.468474164197919,5.776789250790165
9,2.812509466765973,3.8691809708839147,4.9191174222037235,5.854640048195383,6.235984188184346
10,2.817557358489885,3.937474346776579,5.120768497496317,6.2226740602057315,6.6827223996268055
11,2.820583914859798,3.991903575372848,5.301252385132333,6.573850271792893,7.117860181008737
12,2.822399067508075,4.0353203782241955,5.4629433774817455,6.9092515912554395,7.542087829606534
13,2.823487878550194,4.0699751936316835,5.60790535123261,7.229820430211843,7.955977787154846
14,2.824141064324062,4.097649893662329,5.737945779778883,7.536392092259382,8.360016091491993
15,2.8245329395132344,4.119758774576164,5.854656326387652,7.829717634326206,8.754623680474356
16,2.82476805157445,4.1374264049018254,5.9594444380723335,8.110480043062564,9.140171268717236
17,2.824909114113816,4.151548189989119,6.0535586334367,8.379306014743348,9.516990010624596
18,2.8249937499467004,4.162837806498544,6.138109199987061,8.636774755050318,9.885379318031879
19,2.8250445308378342,4.171864537035633,6.214085437708541,8.883424704757642,10.245612706631649
20,2.8250749991534345,4.179082763959903,6.282370229579822,9.119758787763962,10.597942245840347
21,2.825093280063929,4.184855334139664,6.343752492757233,9.346248584148617,10.942601999456562
22,2.825104248581834,4.189472107815588,6.398937914868165,9.563337706268506,11.27981072405652
23,2.8251108296823566,4.193164708422279,6.448558278734942,9.771444573728749,11.609774012764264
24,2.825114778338991,4.196118266420446,6.493179608482042,9.970964727686578,11.932686018646006
25,2.8251171475316466,4.198480779063224,6.533309319762294,10.162272786898884,12.248730855328946
26,2.8251185690467633,4.200370575898514,6.569402520150712,10.345724121311314,12.558083746838083
27,2.8251194219556615,4.201882277034135,6.601867578361703,10.52165630006992,12.860911980463113
28,2.825119933700939,4.20309155077455,6.631071060074637,10.690390357189996,13.157375703368166
29,2.8251202407480838,4.204058914022663,6.657342111952829,10.85223190813746,13.447628594091407
30,2.8251204249763626,4.204832768967023,6.680976362650902,11.007472143188963,13.731818433009595
31,2.8251205355133266,4.20545183011521,6.702239399350491,11.156388717901198,14.010087590554333
32,2.825120601835504,4.20594706444289,6.721369870026662,11.29924655682799,14.282573447970295
33,2.8251206416288106,4.2063432425698455,6.738582254784079,11.436298583416965,14.549408762355533
34,2.825120665504794,4.206660179098409,6.754069343889288,11.567786386541133,14.810721985375041
35,2.8251206798303836,4.2069137244993176,6.76800445532407,11.693940832191206,15.066637543213853
36,2.825120688425738,4.207116558374399,6.7805434206145,11.814982627338145,15.317276083907249
37,2.8251206935829503,4.207278823909455,6.791826364213658,11.93112284177447,15.56275469705847
38,2.8251206966772773,4.207408635335998,6.801979298727045,12.0425633927843,15.803187110058746
39,2.825120698533874,4.207512483836324,6.81111555568517,12.149497496721386,16.038683864208323
40,2.8251206996478313,4.207595562226432,6.8193370693218585,12.252110090950552,16.269352473560687
41,2.8251207003162064,4.207662024676034,6.826735528856738,12.350578229099435,16.495297568845622
42,2.8251207007172314,4.207715194467733,6.83339341306317,12.445071452150346,16.716621028446696
43,2.825120700957846,4.2077577301935865,6.839384919393707,12.535752137557818,16.933422098098024
44,2.825120701102215,4.2077917587054685,6.8447767986048875,12.622775828291523,17.145797500709143
45,2.825120701188837,4.207818981470941,6.849629104647818,12.70629154346555,17.353841537515574
46,2.825120701240809,4.207840759655139,6.853995868550109,12.786442072014465,17.557646181576963
47,2.825120701271993,4.207858182184463,6.857925704091398,12.86336425070715,17.757301164498347
48,2.825120701290703,4.20787212019638,6.861462352254036,12.937189227645689,17.952894057127377
49,2.825120701301929,4.2078832705985265,6.864645170700298,13.008042712273715,18.144510344877276
50,2.8251207013086646,4.2078921909155165,6.867509573876749,13.07604521281332,18.332233498238214
51,2.8251207013127058,4.207899327166083,6.87008742876589,13.141312261958763,18.516145038966048
52,2.825120701315131,4.2079050361645995,6.872407410786934,13.203954631576568,18.69632460237476
53,2.825120701316586,4.2079096033621735,6.874495323884245,13.264078537093008,18.872849996105273
54,2.825120701317459,4.20791325711944,6.876374388427727,13.321785832190017,19.045797255697735
55,2.825120701317983,4.207916180124745,6.878065500178573,13.37717419437804,19.215240697254945
56,2.8251207013182973,4.207918518528665,6.879587463241761,13.43033730196763,19.38125296745078
57,2.8251207013184856,4.207920389251592,6.880957199629061,13.481365002920656,19.54390509110832
58,2.825120701318599,4.207921885829801,6.882189937789652,13.530343476025129,19.70326651654686
59,2.8251207013186668,4.207923083092283,6.883299382226207,13.577355384805031,19.85940515887533
60,2.8251207013187076,4.207924040902214,6.884297866099686,13.622480024547066,20.012387441390125
61,2.825120701318732,4.207924807150125,6.885196488533483,13.66579346279993,20.162278335218957
62,2.8251207013187467,4.20792542014843,6.886005238154714,13.707368673677623,20.3091413973375
63,2.825120701318755,4.20792591054706,6.886733104255116,13.747275666276845,20.453038807072865
64,2.825120701318761,4.207926302865955,6.887388176814628,13.785581607498727,20.59403140119661
65,2.825120701318764,4.207926616721066,6.887977736505443,13.822350939547153,20.732178707700044
66,2.825120701318766,4.207926867805151,6.8885083356817525,13.85764549235954,20.867538978335876
67,2.825120701318767,4.207927068672417,6.888985871259298,13.891524591210814,21.000169220002302
68,2.8251207013187676,4.207927229366227,6.889415650297852,13.924045159717448,21.130125225038903
69,2.825120701318768,4.207927357921275,6.889802449018097,13.955261818455522,21.257461600497475
70,2.8251207013187685,4.207927460765312,6.890150565910865,13.985226979395105,21.382231796445495
71,2.8251207013187685,4.207927543040541,6.890463869530627,14.013990936342022,21.504488133355007
72,2.8251207013187685,4.207927608860724,6.890745841505727,14.041601951568088,21.624281828625364
73,2.8251207013187685,4.20792766151687,6.890999615244439,14.068106338801247,21.741663022284357
74,2.8251207013187685,4.207927703641787,6.891228010767863,14.093548542738219,21.856680801908723
75,2.8251207013187685,4.207927737341721,6.891433566057447,14.117971215234064,21.969383226801924
76,2.8251207013187685,4.207927764301668,6.891618565266101,14.141415288315189,22.07981735146408
77,2.8251207013187685,4.207927785869625,6.891785064106818,14.163920044155178,22.188029248386613
78,2.8251207013187685,4.20792780312399,6.8919349127013545,14.185523182145927,22.294064030201604
79,2.8251207013187685,4.207927816927484,6.8920697761431455,14.206260883190211,22.397965871213877
80,2.8251207013187685,4.207927827970277,6.8921911530032025,14.226167871335749,22.499778028341904
81,2.8251207013187685,4.2079278368045125,6.892300391984841,14.245277472865137,22.599542861491816
82,2.825120701318769,4.207927843871901,6.892398706912467,14.263621672950684,22.69730185338733
83,2.825120701318769,4.207927849525812,6.8924871902210985,14.281231169978101,22.793095628876824
84,2.8251207013187694,4.207927854048941,6.892566825096622,14.2981354276382,22.886963973737657
85,2.8251207013187694,4.207927857667443,6.892638496401776,14.314362724881226,22.97894585299634
86,2.825120701318769,4.207927860562245,6.892703000509334,14.329940203824142,23.069079428782395
87,2.825120701318769,4.207927862878087,6.892761054151804,14.344893915697176,23.157402077732442
88,2.825120701318769,4.2079278647307605,6.892813302386016,14.359248864911956,23.24395040796029
89,2.825120701318769,4.207927866212899,6.892860325761163,14.373029051330022,23.32876027560783
90,2.825120701318769,4.207927867398611,6.89290264676992,14.386257510806923,23.411866800990843
91,2.825120701318769,4.20792786834718,6.892940735654413,14.398956354083872,23.493304384353024
